medcodeid,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,dizziness
187840011,F561411,13445001,187840011,aural vertigo,1
253056010,1B68.00,162271007,253056010,felt faint,1
308831000033113,,308831000033109,308831000033113,vertigon,1
854511000006119,,854511000006103,854511000006119,vertigo,1
1776601000006110,,1776601000006100,1776601000006110,reason for referral: dizziness/balance problems,1
1805671000006110,,248223005,370558019,feeling faint,1
1892951000006110,,1892951000006100,1892951000006110,dizziness on lying still,1
317028016,R004300,399153001,1778609014,[d]vertigo nos,1
317030019,R004z00,271789005,406731010,[d]dizziness and giddiness nos,1
2431121000000110,38VD.00,719339005,3316029012,dizziness handicap inventory,1
11844981000006100,,427461000,2725681000000110,near faint without loss of consciousness,1
6459881000006110,,386705008,1491723013,light-headedness,1
5529421000006110,,271789005,1495308011,dizziness - giddy,1
5526501000006110,,271594007,2162374010,fainting,1
2824601000006110,,20425006,480692017,central vestibular vertigo,1
3316741000006110,,50438001,1230865019,peripheral vestibular vertigo,1
4197131000006110,,111541001,363702010,bppv - benign paroxysmal positional vertigo,1
3316731000006110,,50438001,84028015,vestibular vertigo,1
6618231000006110,,399153001,1786719013,rotatory vertigo,1
6618221000006110,,399153001,1786718017,rotary vertigo,1
11905391000006100,,271594007,295251000006115,[d]fainting,1
6618211000006110,,399153001,1786717010,vertigo - giddiness,1
2360901000000110,1B57.00,919621000000103,2360901000000110,dizziness on lying still,1
883801000006113,F562.99,20425006,883801000006113,central nystagmus/vertigo,1
1778609014,1B56.00,399153001,1778609014,vertigo,1
2159245017,1B55.00,407645004,2159245017,dizziness on standing up,1
627241000006116,1B5..11,404640003,2156535017,dizziness symptom,1
4775081000006110,,194361002,2162233012,disabling positional vertigo,1
2713121000006110,,13445001,189641019,mÃ<U+0083>Â©niÃ<U+0083>Â¨re's vertigo,1
112741000006118,1B62.00,398665005,1778189013,syncope/vasovagal faint,1
299174017,F562z00,20425006,34357011,vertigo of central origin nos,1
475301015,F561400,13445001,475301015,otogenic vertigo,1
299167010,F561100,194355000,299167010,benign paroxysmal positional vertigo or nystagmus,1
6459891000006110,,386705008,1491724019,feels light headed,1
6459901000006110,,386705008,1491725018,lightheaded,1
3965161000006110,,90129003,2913004015,charcot vertigo,1
6459911000006110,,386705008,1491726017,dizziness - light-headed,1
317012014,R002100,271594007,406440010,[d]fainting,1
317024019,R004.00,271789005,406731010,[d]dizziness and giddiness,1
317025018,R004000,404640003,2156535017,[d]dizziness,1
299165019,F561.00,50438001,84026016,other and unspecified peripheral vertigo,1
299166018,F561000,50438001,84026016,unspecified peripheral vertigo,1
299544019,FyuQ100,50438001,84026016,[x]other peripheral vertigo,1
961911000006112,,961911000006108,961911000006112,syncopal episodes (fainting)/dizziness,1
299173011,F562100,194361002,299173011,malignant positional vertigo,1
253031016,1B53.00,162260006,253031016,dizziness present,1
178784013,F561500,111541001,178784013,benign paroxysmal positional vertigo,1
663641000006119,1B6..11,248229009,370568012,faint symptom,1
299171013,F561z00,50438001,84026016,other peripheral vertigo nos,1
4742901000006110,,186738001,287047012,acute epidemic vertigo,1
5529431000006110,,271789005,1495309015,dizzy,1
2713101000006110,,13445001,189639015,auditory vertigo,1
7785351000006110,,719339005,7785351000006110,dizziness handicap inventory score,1
317027014,R004200,386705008,1480843017,[d]light-headedness,1
317029012,R004400,399153001,1778609014,[d]acute vertigo,1
480691012,F562.00,38403006,63497014,vertigo of central origin,1
287046015,A78y000,186738001,287046015,epidemic vertigo,1
5496921000006110,,266994001,5496921000006110,history of - vertigo/mÃ<U+0083>Â©niÃ<U+0083>Â¨re's disease,1
3096591000006110,,37031009,61781013,riders' vertigo,1
2824581000006110,,20425006,34359014,labyrinthine vertigo,1
6618241000006110,,399153001,2966660016,vertigo (spinning sensation),1
5526511000006110,,271594007,2842516018,faint,1
